ClientID,Sex,Education,Marriage,Age,Age Band,Credit Limit,Credit Limit Band,Utilization Rate,Ever Delayed,Max Delay (months),Months Delayed (count),Payment Trend,Risk Segment,Default
68,Female,Graduate school,Single,30,21-30,210000,Q4,0.0068166666666666,Yes,2,1,-609,Medium risk (one factor),No default
69,Female,High school,Single,29,21-30,130000,Q3,0.0101294871794871,Yes,2,2,-13899,Medium risk (one factor),No default
70,Male,Others,Single,22,21-30,20000,Q1 (lowest),0.73605,Yes,2,1,0,High risk (delayed + high util),No default
71,Male,Graduate school,Single,31,31-40,80000,Q2,0.004875,No,0,0,-390,Low risk (neither),No default
72,Male,University,Single,29,21-30,320000,Q5 (highest),0.1886208333333333,Yes,2,6,900,Medium risk (one factor),Default
73,Female,University,Married,32,31-40,200000,Q4,0.0220208333333333,Yes,2,1,4423,Medium risk (one factor),No default
74,Female,Graduate school,Single,37,31-40,290000,Q5 (highest),0.0031689655172413,Yes,1,1,0,Medium risk (one factor),No default
75,Male,Graduate school,Single,32,31-40,340000,Q5 (highest),0.0697053921568627,No,0,0,3697,Low risk (neither),No default
76,Male,University,Single,24,21-30,20000,Q1 (lowest),0.8444,Yes,2,1,2850,High risk (delayed + high util),No default
77,Male,High school,Single,25,21-30,50000,Q1 (lowest),0.4846866666666666,No,0,0,759,Medium risk (one factor),No default
78,Female,Graduate school,Married,45,41-50,300000,Q5 (highest),0.00097,No,0,0,0,Low risk (neither),No default
79,Female,University,Single,22,21-30,30000,Q1 (lowest),0.828811111111111,No,0,0,1686,Medium risk (one factor),Default
80,Female,University,Single,44,41-50,240000,Q4,0.0,Yes,1,1,0,Medium risk (one factor),Default
81,Female,High school,Others,33,31-40,470000,Q5 (highest),0.2180223404255319,No,0,0,3400,Low risk (neither),No default
82,Female,Graduate school,Single,26,21-30,360000,Q5 (highest),0.1365291666666666,No,0,0,1833,Low risk (neither),No default
83,Male,High school,Single,30,21-30,60000,Q2,0.3987944444444444,No,0,0,1576,Medium risk (one factor),Default
84,Female,University,Married,44,41-50,400000,Q5 (highest),0.2920633333333333,Yes,2,1,7900,High risk (delayed + high util),No default
85,Female,High school,Single,49,41-50,50000,Q1 (lowest),0.5916633333333333,No,0,0,850,Medium risk (one factor),No default
86,Male,University,Single,33,31-40,160000,Q3,0.6948052083333333,No,0,0,-100,Medium risk (one factor),No default
87,Female,Graduate school,Married,45,41-50,360000,Q5 (highest),0.001625,Yes,2,1,780,Medium risk (one factor),Default
88,Female,University,Single,32,31-40,160000,Q3,0.032940625,No,0,0,-1156,Low risk (neither),No default
89,Female,Graduate school,Married,35,31-40,130000,Q3,0.2904282051282051,No,0,0,37910,Medium risk (one factor),No default
90,Male,High school,Single,44,41-50,20000,Q1 (lowest),0.5109083333333333,Yes,2,3,-1500,High risk (delayed + high util),No default
91,Male,Graduate school,Married,53,51-60,200000,Q4,0.7184725,Yes,2,6,1300,High risk (delayed + high util),Default
92,Female,Graduate school,Single,39,31-40,280000,Q5 (highest),0.0091428571428571,No,0,0,0,Low risk (neither),No default
93,Female,Graduate school,Single,27,21-30,100000,Q2,0.005925,No,0,0,7555,Low risk (neither),No default
94,Female,University,Married,37,31-40,160000,Q3,0.0043354166666666,No,0,0,-6134,Low risk (neither),No default
95,Female,University,Single,23,21-30,60000,Q2,0.5495527777777778,No,0,0,1102,Medium risk (one factor),No default
96,Male,University,Single,35,31-40,90000,Q2,0.6568814814814815,No,0,0,2478,Medium risk (one factor),No default
97,Male,Graduate school,Married,43,41-50,360000,Q5 (highest),0.0270648148148148,No,0,0,-60639,Low risk (neither),No default
98,Male,Graduate school,Single,27,21-30,150000,Q3,0.5326788888888888,No,0,0,3231,Medium risk (one factor),No default
99,Female,High school,Married,22,21-30,50000,Q1 (lowest),0.2793133333333333,No,0,0,1214,Low risk (neither),No default
100,Male,University,Married,38,31-40,20000,Q1 (lowest),0.7768083333333333,No,0,0,1699,Medium risk (one factor),Default
101,Male,Graduate school,Single,32,31-40,140000,Q3,0.0162845238095238,No,0,0,10212,Low risk (neither),No default
102,Female,Graduate school,Single,30,21-30,380000,Q5 (highest),0.0581587719298245,No,0,0,-4777,Low risk (neither),No default
103,Male,Graduate school,Married,63,61+,480000,Q5 (highest),0.9586857638888888,Yes,2,2,-8122,High risk (delayed + high util),No default
104,Female,High school,Single,22,21-30,50000,Q1 (lowest),0.6845533333333332,No,0,0,863,Medium risk (one factor),Default
105,Female,University,Single,26,21-30,60000,Q2,0.9501055555555556,Yes,2,5,-3000,High risk (delayed + high util),No default
106,Female,University,Single,24,21-30,70000,Q2,0.07645,No,0,0,-2000,Low risk (neither),No default
107,Female,University,Married,36,31-40,80000,Q2,0.03721875,No,0,0,1826,Low risk (neither),No default
108,Male,Graduate school,Single,52,51-60,350000,Q5 (highest),0.0052319047619047,No,0,0,-2739,Low risk (neither),No default
109,Male,University,Single,38,31-40,130000,Q3,0.872997435897436,No,0,0,6112,Medium risk (one factor),No default
110,Male,University,Married,35,31-40,360000,Q5 (highest),-0.0002861111111111,Yes,1,1,0,Medium risk (one factor),No default
111,Female,Graduate school,Married,31,31-40,330000,Q5 (highest),0.323020202020202,Yes,2,1,9260,High risk (delayed + high util),No default
112,Male,High school,Married,47,41-50,50000,Q1 (lowest),0.3104633333333333,Yes,2,1,1000,High risk (delayed + high util),No default
113,Male,University,Married,41,41-50,280000,Q5 (highest),0.5089333333333333,Yes,3,6,1500,High risk (delayed + high util),No default
114,Female,Graduate school,Single,24,21-30,100000,Q2,0.5586433333333334,No,0,0,-33,Medium risk (one factor),No default
115,Male,University,Single,41,41-50,50000,Q1 (lowest),0.3970333333333333,No,0,0,656,Medium risk (one factor),No default
116,Male,Graduate school,Single,24,21-30,30000,Q1 (lowest),0.6536666666666666,Yes,3,3,-1000,High risk (delayed + high util),Default
117,Male,Graduate school,Single,28,21-30,240000,Q4,0.0051777777777777,No,0,0,-200,Low risk (neither),No default
118,Male,University,Single,26,21-30,80000,Q2,0.2062958333333333,Yes,2,1,1000,Medium risk (one factor),Default
119,Male,University,Married,34,31-40,400000,Q5 (highest),0.0299283333333333,No,0,0,3965,Low risk (neither),No default
120,Female,University,Single,38,31-40,240000,Q4,0.1456270833333333,No,0,0,1437,Low risk (neither),No default
121,Male,High school,Single,37,31-40,50000,Q1 (lowest),0.9674833333333333,Yes,3,6,1000,High risk (delayed + high util),Default
122,Male,Graduate school,Married,40,31-40,450000,Q5 (highest),0.0,Yes,1,1,0,Medium risk (one factor),Default
123,Female,Graduate school,Married,48,41-50,110000,Q3,0.0,Yes,1,1,0,Medium risk (one factor),No default
124,Female,University,Married,35,31-40,310000,Q5 (highest),0.8744827956989248,Yes,2,1,7032,High risk (delayed + high util),Default
125,Male,Graduate school,Single,27,21-30,20000,Q1 (lowest),0.9341666666666666,No,0,0,1404,Medium risk (one factor),No default
126,Male,University,Single,23,21-30,20000,Q1 (lowest),0.0,Yes,1,1,0,Medium risk (one factor),No default
127,Male,High school,Single,52,51-60,200000,Q4,0.5147375,No,0,0,-216,Medium risk (one factor),No default
128,Male,Graduate school,Married,36,31-40,180000,Q3,0.6193351851851852,No,0,0,3655,Medium risk (one factor),Default
129,Male,University,Married,51,51-60,50000,Q1 (lowest),0.1018266666666666,No,0,0,866,Low risk (neither),Default
130,Male,High school,Married,55,51-60,60000,Q2,0.7336805555555556,Yes,3,3,1004,High risk (delayed + high util),No default
131,Female,Graduate school,Single,23,21-30,30000,Q1 (lowest),0.1820888888888889,Yes,1,1,2621,Medium risk (one factor),No default
132,Male,Graduate school,Single,41,41-50,240000,Q4,0.0078326388888888,Yes,1,1,1698,Medium risk (one factor),No default
133,Male,University,Married,34,31-40,420000,Q5 (highest),0.5356789682539682,No,0,0,-1582,Medium risk (one factor),No default
134,Male,High school,Married,46,41-50,330000,Q5 (highest),0.6915742424242424,No,0,0,10,Medium risk (one factor),No default
135,Female,University,Single,22,21-30,30000,Q1 (lowest),0.686011111111111,No,0,0,440,Medium risk (one factor),No default
136,Male,University,Married,34,31-40,240000,Q4,0.0539638888888888,Yes,2,3,1173,Medium risk (one factor),No default
137,Male,Graduate school,Single,27,21-30,150000,Q3,0.1564766666666666,No,0,0,-2500,Low risk (neither),No default
138,Female,University,Married,33,31-40,210000,Q4,0.0343301587301587,No,0,0,954,Low risk (neither),No default
139,Female,High school,Married,51,51-60,50000,Q1 (lowest),0.0231066666666666,No,0,0,300,Low risk (neither),Default
140,Male,Graduate school,Single,24,21-30,50000,Q1 (lowest),0.6944333333333332,No,0,0,230,Medium risk (one factor),No default
141,Male,Graduate school,Single,47,41-50,240000,Q4,0.0,Yes,1,1,0,Medium risk (one factor),Default
142,Male,University,Single,28,21-30,180000,Q3,0.0035444444444444,No,0,0,-832,Low risk (neither),No default
143,Male,University,Single,23,21-30,50000,Q1 (lowest),0.3316233333333334,Yes,2,4,400,High risk (delayed + high util),No default
144,Male,University,Single,29,21-30,170000,Q3,0.0666549019607843,No,0,0,0,Low risk (neither),No default
145,Male,Graduate school,Single,29,21-30,20000,Q1 (lowest),0.2209166666666666,No,0,0,15256,Low risk (neither),No default
146,Male,Graduate school,Single,28,21-30,50000,Q1 (lowest),0.1606133333333333,Yes,3,1,1000,Medium risk (one factor),No default
147,Female,University,Single,27,21-30,170000,Q3,0.1029529411764706,No,0,0,1661,Low risk (neither),Default
148,Male,Graduate school,Single,34,31-40,200000,Q4,0.6618941666666667,Yes,2,2,-500,High risk (delayed + high util),No default
149,Female,University,Married,23,21-30,80000,Q2,0.1290625,Yes,3,4,1649,Medium risk (one factor),No default
150,Female,Graduate school,Married,60,51-60,260000,Q4,0.0134858974358974,Yes,1,1,0,Medium risk (one factor),No default
151,Male,University,Married,32,31-40,140000,Q3,0.4896702380952381,Yes,2,1,853,High risk (delayed + high util),No default
152,Male,Graduate school,Single,25,21-30,80000,Q2,0.5344333333333333,No,0,0,16000,Medium risk (one factor),No default
153,Male,Graduate school,Single,41,41-50,350000,Q5 (highest),0.0022590476190476,Yes,1,1,2906,Medium risk (one factor),No default
154,Female,University,Married,56,51-60,280000,Q5 (highest),0.5783458333333333,No,0,0,1721,Medium risk (one factor),No default
155,Female,High school,Single,26,21-30,30000,Q1 (lowest),0.3892888888888888,No,0,0,200,Medium risk (one factor),No default
156,Male,Graduate school,Married,34,31-40,140000,Q3,0.265452380952381,No,0,0,-504,Low risk (neither),No default
157,Female,Graduate school,Single,37,31-40,200000,Q4,0.4795058333333333,No,0,0,-1000,Medium risk (one factor),No default
158,Female,High school,Single,30,21-30,200000,Q4,0.8484666666666667,No,0,0,2800,Medium risk (one factor),No default
159,Male,High school,Married,45,41-50,210000,Q4,0.6392468253968254,Yes,6,6,0,High risk (delayed + high util),Default
160,Male,High school,Married,57,51-60,50000,Q1 (lowest),0.26628,Yes,3,2,-600,Medium risk (one factor),No default
161,Male,Graduate school,Single,41,41-50,30000,Q1 (lowest),0.9033111111111112,Yes,2,5,2250,High risk (delayed + high util),No default
162,Male,University,Single,27,21-30,50000,Q1 (lowest),0.01132,Yes,2,2,0,Medium risk (one factor),No default
163,Male,High school,Married,47,41-50,290000,Q5 (highest),0.0020902298850574,No,0,0,27,Low risk (neither),No default
164,Female,Graduate school,Married,34,31-40,250000,Q4,0.612628,Yes,2,1,14074,High risk (delayed + high util),No default
165,Female,University,Married,46,41-50,60000,Q2,0.4175111111111111,No,0,0,1500,Medium risk (one factor),No default
166,Female,Graduate school,Single,27,21-30,110000,Q3,0.817180303030303,No,0,0,2700,Medium risk (one factor),No default
167,Male,Graduate school,Single,50,41-50,370000,Q5 (highest),0.0284099099099099,No,0,0,10684,Low risk (neither),No default
168,Male,University,Married,27,21-30,100000,Q2,0.516815,Yes,2,2,-46834,High risk (delayed + high util),No default
169,Female,University,Married,35,31-40,90000,Q2,0.8758351851851852,Yes,2,1,3500,High risk (delayed + high util),No default
170,Female,University,Single,22,21-30,50000,Q1 (lowest),0.5711966666666667,No,0,0,943,Medium risk (one factor),No default
171,Male,University,Single,37,31-40,270000,Q4,0.1112401234567901,No,0,0,3000,Low risk (neither),No default
172,Female,Graduate school,Single,30,21-30,300000,Q5 (highest),0.0065444444444444,No,0,0,2542,Low risk (neither),No default
173,Female,University,Single,22,21-30,50000,Q1 (lowest),0.17929,No,0,0,5000,Low risk (neither),No default
174,Female,Graduate school,Single,24,21-30,50000,Q1 (lowest),-0.0385633333333333,Yes,1,1,0,Medium risk (one factor),Default
175,Male,Graduate school,Single,29,21-30,360000,Q5 (highest),3.564814814814815e-05,Yes,1,1,0,Medium risk (one factor),No default
176,Male,High school,Married,56,51-60,130000,Q3,0.5263782051282052,Yes,3,6,3000,High risk (delayed + high util),Default
177,Male,Graduate school,Single,30,21-30,80000,Q2,0.03255,No,0,0,504,Low risk (neither),No default
178,Male,University,Single,30,21-30,50000,Q1 (lowest),0.7349433333333333,Yes,2,3,-2000,High risk (delayed + high util),No default
179,Female,University,Single,22,21-30,20000,Q1 (lowest),0.6992833333333333,No,0,0,212,Medium risk (one factor),No default
180,Female,University,Married,29,21-30,80000,Q2,0.67408125,Yes,2,1,5800,High risk (delayed + high util),No default
181,Male,Graduate school,Single,37,31-40,240000,Q4,0.0821256944444444,Yes,2,1,-50935,Medium risk (one factor),No default
182,Female,High school,Single,35,31-40,80000,Q2,0.2697645833333333,No,0,0,10500,Low risk (neither),No default
183,Female,Graduate school,Married,47,41-50,500000,Q5 (highest),0.193081,No,0,0,50010,Low risk (neither),No default
184,Female,University,Married,24,21-30,60000,Q2,0.6178972222222222,No,0,0,500,Medium risk (one factor),Default
185,Male,University,Single,25,21-30,20000,Q1 (lowest),0.4242,No,0,0,1200,Medium risk (one factor),No default
186,Female,University,Married,38,31-40,100000,Q2,0.1539183333333333,Yes,2,3,-1500,Medium risk (one factor),Default
187,Female,Graduate school,Single,32,31-40,360000,Q5 (highest),0.0757157407407407,Yes,1,1,18774,Medium risk (one factor),No default
188,Female,High school,Single,47,41-50,200000,Q4,0.985485,Yes,2,6,1378,High risk (delayed + high util),Default
189,Female,University,Married,34,31-40,130000,Q3,0.0740282051282051,Yes,1,1,3396,Medium risk (one factor),No default
190,Female,University,Single,31,31-40,20000,Q1 (lowest),1.048266666666667,Yes,5,6,0,High risk (delayed + high util),No default
191,Male,Graduate school,Single,32,31-40,310000,Q5 (highest),0.1901827956989247,No,0,0,5797,Low risk (neither),No default
192,Female,Graduate school,Single,27,21-30,60000,Q2,0.3611611111111111,Yes,2,2,496,High risk (delayed + high util),Default
193,Female,Graduate school,Single,29,21-30,180000,Q3,0.0424574074074074,No,0,0,-4915,Low risk (neither),No default
194,Female,Graduate school,Single,24,21-30,180000,Q3,0.0631842592592592,Yes,2,1,37867,Medium risk (one factor),No default
195,Male,University,Married,36,31-40,50000,Q1 (lowest),0.2829,No,0,0,-18011,Low risk (neither),No default
196,Female,Graduate school,Single,24,21-30,50000,Q1 (lowest),0.76253,Yes,2,6,1900,High risk (delayed + high util),Default
197,Female,University,Married,34,31-40,150000,Q3,0.0017955555555555,No,0,0,0,Low risk (neither),No default
198,Female,Graduate school,Single,22,21-30,20000,Q1 (lowest),0.8625916666666666,No,0,0,500,Medium risk (one factor),No default
199,Female,Graduate school,Married,34,31-40,500000,Q5 (highest),0.0021523333333333,No,0,0,-15678,Low risk (neither),No default
200,Female,High school,Single,22,21-30,30000,Q1 (lowest),0.6547444444444444,Yes,2,3,1000,High risk (delayed + high util),Default
201,Female,Graduate school,Married,38,31-40,180000,Q3,0.0006944444444444,No,0,0,0,Low risk (neither),No default
202,Male,Graduate school,Single,31,31-40,140000,Q3,0.1558,Yes,2,2,22500,Medium risk (one factor),No default
203,Female,Graduate school,Single,26,21-30,140000,Q3,0.0764714285714285,No,0,0,2996,Low risk (neither),No default
204,Male,University,Single,26,21-30,120000,Q3,0.9567972222222224,No,0,0,0,Medium risk (one factor),No default
205,Female,University,Married,48,41-50,360000,Q5 (highest),0.5568421296296296,No,0,0,5000,Medium risk (one factor),No default
206,Male,High school,Married,43,41-50,20000,Q1 (lowest),0.8245083333333334,No,0,0,20659,Medium risk (one factor),No default
207,Male,Graduate school,Married,47,41-50,100000,Q2,0.005055,No,0,0,-907,Low risk (neither),No default
208,Female,University,Married,41,41-50,210000,Q4,0.0076642857142857,No,0,0,1167,Low risk (neither),Default
209,Female,University,Single,24,21-30,80000,Q2,0.81543125,No,0,0,1400,Medium risk (one factor),Default
210,Female,Graduate school,Married,50,41-50,330000,Q5 (highest),0.0098292929292929,No,0,0,4087,Low risk (neither),No default
211,Male,Graduate school,Single,24,21-30,220000,Q4,0.3181659090909091,No,0,0,5000,Medium risk (one factor),No default
212,Female,Graduate school,Married,38,31-40,210000,Q4,0.0018920634920634,Yes,1,1,-9616,Medium risk (one factor),Default
213,Female,High school,Married,43,41-50,40000,Q1 (lowest),0.8997708333333334,No,0,0,700,Medium risk (one factor),No default
214,Male,University,Single,39,31-40,30000,Q1 (lowest),0.5755722222222223,Yes,2,1,2888,High risk (delayed + high util),No default
215,Male,University,Single,27,21-30,470000,Q5 (highest),0.7102191489361702,Yes,2,4,2633,High risk (delayed + high util),No default
216,Male,High school,Married,42,41-50,30000,Q1 (lowest),0.0195,Yes,2,1,390,Medium risk (one factor),No default
217,Female,University,Married,36,31-40,240000,Q4,-0.0039416666666666,Yes,1,1,0,Medium risk (one factor),Default
218,Male,University,Single,36,31-40,80000,Q2,0.9808520833333334,Yes,2,1,100,High risk (delayed + high util),No default
219,Female,High school,Others,31,31-40,110000,Q3,0.6876469696969697,No,0,0,-4954,Medium risk (one factor),No default
220,Female,Graduate school,Single,38,31-40,310000,Q5 (highest),0.0032752688172043,No,0,0,4542,Low risk (neither),No default
221,Female,Graduate school,Married,40,31-40,360000,Q5 (highest),0.3173912037037037,Yes,2,3,7300,High risk (delayed + high util),Default
222,Female,High school,Single,45,41-50,330000,Q5 (highest),1.0128373737373737,No,0,0,710,Medium risk (one factor),No default
223,Female,University,Single,35,31-40,300000,Q5 (highest),0.795175,No,0,0,-2981,Medium risk (one factor),No default
224,Female,University,Single,33,31-40,320000,Q5 (highest),0.22774375,No,0,0,6288,Low risk (neither),No default
225,Female,High school,Single,37,31-40,50000,Q1 (lowest),0.8132266666666668,Yes,3,3,-30592,High risk (delayed + high util),Default
226,Female,Graduate school,Single,28,21-30,170000,Q3,0.7569627450980393,No,0,0,1568,Medium risk (one factor),No default
227,Male,High school,Married,44,41-50,350000,Q5 (highest),0.0039923809523809,No,0,0,2686,Low risk (neither),No default
228,Male,University,Married,37,31-40,20000,Q1 (lowest),0.9038416666666668,No,0,0,827,Medium risk (one factor),No default
229,Male,University,Single,23,21-30,50000,Q1 (lowest),0.6750033333333333,Yes,2,1,1397,High risk (delayed + high util),Default
230,Female,High school,Single,24,21-30,20000,Q1 (lowest),0.5326,Yes,2,2,-3200,High risk (delayed + high util),No default
231,Female,Graduate school,Single,24,21-30,50000,Q1 (lowest),0.4431,No,0,0,1701,Medium risk (one factor),No default
232,Male,University,Single,23,21-30,20000,Q1 (lowest),0.7888,Yes,2,3,-10000,High risk (delayed + high util),Default
233,Male,University,Married,26,21-30,50000,Q1 (lowest),0.6584933333333333,No,0,0,-2000,Medium risk (one factor),No default
234,Male,University,Single,34,31-40,190000,Q4,0.7263666666666666,Yes,2,3,2231,High risk (delayed + high util),Default
235,Female,University,Married,33,31-40,60000,Q2,0.4883166666666667,No,0,0,907,Medium risk (one factor),No default
236,Male,Graduate school,Single,35,31-40,80000,Q2,0.0871916666666666,No,0,0,1565,Low risk (neither),No default
237,Female,University,Single,27,21-30,150000,Q3,0.4442,No,0,0,1971,Medium risk (one factor),No default
238,Female,Graduate school,Single,31,31-40,210000,Q4,0.0143888888888888,No,0,0,-3299,Low risk (neither),No default
239,Female,High school,Married,50,41-50,240000,Q4,0.9119631944444444,No,0,0,2402,Medium risk (one factor),Default
240,Female,University,Others,41,41-50,140000,Q3,0.1379214285714285,No,0,0,601,Low risk (neither),Default
