ClientID,Month Offset,Bill Amount,Payment Amount,Pay Status Code,Default
46,-5,0,0,-2,Default
46,-4,0,0,-2,Default
46,-3,0,0,-2,Default
46,-2,0,0,-2,Default
46,-1,0,0,-2,Default
46,0,0,0,-2,Default
47,-5,0,0,0,Default
47,-4,16675,0,0,Default
47,-3,16341,334,-1,Default
47,-2,15800,16741,2,Default
47,-1,16484,0,0,Default
47,0,14028,3000,0,Default
48,-5,0,0,-2,Default
48,-4,0,0,0,Default
48,-3,1170,0,0,Default
48,-2,1170,0,-1,Default
48,-1,3034,1170,0,Default
48,0,4463,1013,0,Default
49,-5,11873,8251,-1,No default
49,-4,11849,11875,-1,No default
49,-3,32018,11851,-1,No default
49,-2,15134,24677,-1,No default
49,-1,21540,15138,-1,No default
49,0,22401,21540,-1,No default
50,-5,20063,1069,0,No default
50,-4,20480,912,0,No default
50,-3,19865,928,0,No default
50,-2,19476,704,0,No default
50,-1,18479,1315,0,No default
50,0,17447,1318,0,No default
51,-5,39362,1500,0,Default
51,-4,38659,1500,2,Default
51,-3,39423,0,2,Default
51,-2,38355,2000,2,Default
51,-1,36171,3100,2,Default
51,0,37042,0,1,Default
52,-5,33258,1000,0,No default
52,-4,35762,1500,0,No default
52,-3,39619,2000,0,No default
52,-2,43824,1500,0,No default
52,-1,51163,1606,0,No default
52,0,61559,2000,0,No default
53,-5,464,0,-2,No default
53,-4,3544,464,-2,No default
53,-3,11185,3544,-2,No default
53,-2,7600,11185,-2,No default
53,-1,7867,7600,-2,No default
53,0,13465,7875,-2,No default
54,-5,45319,1622,0,No default
54,-4,44420,1790,0,No default
54,-3,43510,1762,0,No default
54,-2,42758,1762,0,No default
54,-1,41742,2010,2,No default
54,0,41402,1300,1,No default
55,-5,16540,5000,0,No default
55,-4,21042,2000,0,No default
55,-3,26518,1500,0,No default
55,-2,31434,1049,0,No default
55,-1,34993,1718,0,No default
55,0,46224,1600,2,No default
56,-5,2530,0,-2,No default
56,-4,151,2530,-2,No default
56,-3,0,151,-2,No default
56,-2,162,0,-2,No default
56,-1,3640,162,-2,No default
56,0,1905,3640,-2,No default
57,-5,8321,2000,-1,No default
57,-4,-679,9000,-1,No default
57,-3,7142,679,-1,No default
57,-2,8441,7500,0,No default
57,-1,15793,1500,0,No default
57,0,16386,8500,0,No default
58,-5,129918,3800,0,No default
58,-4,132202,4816,0,No default
58,-3,168608,4814,0,No default
58,-2,172308,5253,0,No default
58,-1,173440,7296,0,No default
58,0,175886,8083,0,No default
59,-5,1414,0,2,No default
59,-4,700,1200,2,No default
59,-3,1166,0,2,No default
59,-2,782,700,2,No default
59,-1,1098,0,3,No default
59,0,1587,0,-1,No default
60,-5,364089,23000,0,No default
60,-4,356656,12000,0,No default
60,-3,360199,12000,0,No default
60,-2,404205,30000,0,No default
60,-1,398857,15029,0,No default
60,0,400134,17000,0,No default
61,-5,15571,2000,0,Default
61,-4,13827,2000,0,Default
61,-3,14937,1000,0,Default
61,-2,18878,1000,0,Default
61,-1,23638,1300,0,Default
61,0,22848,1516,0,Default
62,-5,830,0,-1,No default
62,-4,14096,3000,0,No default
62,-3,16518,2000,0,No default
62,-2,69938,1000,0,No default
62,-1,72060,2095,0,No default
62,0,70800,4025,0,No default
63,-5,28264,0,2,Default
63,-4,27667,1200,2,Default
63,-3,25865,2225,2,Default
63,-2,26591,0,2,Default
63,-1,24300,2700,2,Default
63,0,24987,0,2,Default
64,-5,0,0,-2,Default
64,-4,0,0,-2,Default
64,-3,0,0,-2,Default
64,-2,0,0,0,Default
64,-1,29166,0,0,Default
64,0,28718,1000,0,Default
65,-5,0,0,-1,No default
65,-4,2353,0,-1,No default
65,-3,0,2353,-2,No default
65,-2,0,0,-2,No default
65,-1,0,0,-1,No default
65,0,99,0,-1,No default
66,-5,7918,1000,2,Default
66,-4,8198,0,2,Default
66,-3,8174,300,-1,Default
66,-2,144076,8222,-2,Default
66,-1,148751,0,-2,Default
66,0,152519,0,-2,Default
67,-5,4326,160,0,Default
67,-4,4196,200,0,Default
67,-3,4062,200,0,Default
67,-2,3978,150,2,Default
67,-1,4193,0,2,Default
67,0,2097,2300,2,Default
68,-5,4250,909,-1,No default
68,-4,300,4250,-1,No default
68,-3,2280,300,-1,No default
68,-2,1159,2280,-1,No default
68,-1,300,1159,-1,No default
68,0,300,300,2,No default
69,-5,7319,13899,-1,No default
69,-4,10161,7319,2,No default
69,-3,10311,0,-1,No default
69,-2,-9850,20161,-2,No default
69,-1,-9850,0,-2,No default
69,0,-190,0,1,No default
70,-5,5982,0,0,No default
70,-4,11205,1000,0,No default
70,-3,18085,500,0,No default
70,-2,17285,1000,0,No default
70,-1,17204,1200,0,No default
70,0,18565,0,2,No default
71,-5,390,390,-1,No default
71,-4,390,390,-1,No default
71,-3,390,390,-1,No default
71,-2,390,390,-1,No default
71,-1,0,390,-1,No default
71,0,780,0,-1,No default
72,-5,63526,1600,2,Default
72,-4,62307,2400,2,Default
72,-3,58622,4800,2,Default
72,-2,60184,0,2,Default
72,-1,59246,2500,2,Default
72,0,58267,2500,2,Default
73,-5,3151,1395,-1,No default
73,-4,3848,3165,2,No default
73,-3,5247,17,-1,No default
73,-2,-684,9102,-1,No default
73,-1,5787,15,-1,No default
73,0,9076,5818,-1,No default
74,-5,0,0,-1,No default
74,-4,2359,0,-1,No default
74,-3,0,2359,-1,No default
74,-2,3155,0,-1,No default
74,-1,0,3155,-2,No default
74,0,0,0,1,No default
75,-5,25820,2016,-1,No default
75,-4,80153,25949,-1,No default
75,-3,4291,80552,-1,No default
75,-2,23337,4314,-1,No default
75,-1,5550,23453,-1,No default
75,0,3048,5713,-1,No default
76,-5,18543,0,0,No default
76,-4,17332,1500,0,No default
76,-3,16976,630,0,No default
76,-2,16642,610,2,No default
76,-1,17216,0,0,No default
76,0,14619,2850,0,No default
77,-5,10030,1000,0,No default
77,-4,9590,1000,0,No default
77,-3,9636,500,0,No default
77,-2,36087,320,0,No default
77,-1,37225,1779,0,No default
77,0,42838,1759,-1,No default
78,-5,291,291,-1,No default
78,-4,291,291,-1,No default
78,-3,291,291,-1,No default
78,-2,291,291,-1,No default
78,-1,291,291,-1,No default
78,0,291,291,-1,No default
79,-5,6411,0,0,Default
79,-4,26446,1765,0,Default
79,-3,28004,3000,0,Default
79,-2,30326,560,0,Default
79,-1,29612,1400,0,Default
79,0,28387,1686,0,Default
80,-5,0,0,-2,Default
80,-4,0,0,-2,Default
80,-3,0,0,-2,Default
80,-2,0,0,-2,Default
80,-1,0,0,-2,Default
80,0,0,0,1,Default
81,-5,29889,3000,0,No default
81,-4,29271,1000,0,No default
81,-3,69923,960,0,No default
81,-2,162702,3000,0,No default
81,-1,157784,7566,0,No default
81,0,165254,6400,0,No default
82,-5,196,2963,-1,No default
82,-4,180000,196,0,No default
82,-3,33100,146900,0,No default
82,-2,30400,3100,0,No default
82,-1,27796,3400,0,No default
82,0,23411,4796,0,No default
83,-5,19771,0,0,Default
83,-4,19899,1140,0,Default
83,-3,21993,768,0,Default
83,-2,28108,648,0,Default
83,-1,27471,1213,0,Default
83,0,26324,1576,0,Default
84,-5,94058,2800,0,No default
84,-4,104990,3200,0,No default
84,-3,104430,3000,0,No default
84,-2,126819,3050,2,No default
84,-1,139060,3,0,No default
84,0,131595,10700,0,No default
85,-5,19482,826,0,No default
85,-4,19342,849,0,No default
85,-3,20414,699,0,No default
85,-2,21489,700,0,No default
85,-1,47863,1302,0,No default
85,0,48909,1676,0,No default
86,-5,120418,4500,0,No default
86,-4,118407,4800,0,No default
86,-3,118418,4500,0,No default
86,-2,71934,80000,0,No default
86,-1,107808,3547,0,No default
86,0,130028,4400,0,No default
87,-5,390,390,-1,Default
87,-4,390,390,-1,Default
87,-3,390,390,0,Default
87,-2,780,0,2,Default
87,-1,1170,0,-1,Default
87,0,390,1170,-1,Default
88,-5,766,2303,-1,No default
88,-4,7072,766,0,No default
88,-3,8604,0,0,No default
88,-2,6604,2000,0,No default
88,-1,4751,2000,0,No default
88,0,3826,1147,0,No default
89,-5,1190,2090,-1,No default
89,-4,7095,1190,-1,No default
89,-3,1330,7095,-1,No default
89,-2,17740,1330,0,No default
89,-1,117866,5000,0,No default
89,0,81313,40000,0,No default
90,-5,11970,1500,2,No default
90,-4,12314,0,0,No default
90,-3,10488,2000,0,No default
90,-2,9651,1000,0,No default
90,-1,8303,1651,2,No default
90,0,8583,0,2,No default
91,-5,149531,5000,2,Default
91,-4,147124,5000,2,Default
91,-3,144098,5500,2,Default
91,-2,142460,5500,2,Default
91,-1,140774,5500,2,Default
91,0,138180,6300,2,Default
92,-5,0,0,-2,No default
92,-4,0,0,0,No default
92,-3,3868,0,0,No default
92,-2,3968,0,-1,No default
92,-1,0,3968,-1,No default
92,0,7524,0,-1,No default
93,-5,0,0,-2,No default
93,-4,0,0,-2,No default
93,-3,0,0,-2,No default
93,-2,0,0,-2,No default
93,-1,5555,0,-2,No default
93,0,-2000,7555,-2,No default
94,-5,0,7736,-2,No default
94,-4,0,0,-1,No default
94,-3,840,0,-1,No default
94,-2,840,840,-1,No default
94,-1,1602,840,-1,No default
94,0,880,1602,-1,No default
95,-5,19323,835,0,No default
95,-4,19209,816,0,No default
95,-3,19595,690,0,No default
95,-2,47214,682,0,No default
95,-1,46850,1301,0,No default
95,0,45648,1937,0,No default
96,-5,30835,1143,0,No default
96,-4,30942,1104,0,No default
96,-3,35565,1112,0,No default
96,-2,87653,1179,0,No default
96,-1,85996,3597,0,No default
96,0,83725,3621,0,No default
97,-5,9956,68978,0,No default
97,-4,26370,0,-1,No default
97,-3,6451,27000,-1,No default
97,-2,3394,12902,-1,No default
97,-1,8322,3394,-1,No default
97,0,3967,8339,-1,No default
98,-5,40788,800,0,No default
98,-4,87725,1698,0,No default
98,-3,89775,4040,0,No default
98,-2,89006,3266,0,No default
98,-1,86108,10006,0,No default
98,0,86009,4031,0,No default
99,-5,7899,197,0,No default
99,-4,8866,321,0,No default
99,-3,13150,281,0,No default
99,-2,16997,379,0,No default
99,-1,18160,1194,0,No default
99,0,18722,1411,0,No default
100,-5,150,0,-1,Default
100,-4,17928,150,0,Default
100,-3,18240,1750,0,Default
100,-2,19559,626,0,Default
100,-1,19367,1460,0,Default
100,0,17973,1699,0,Default
101,-5,1430,0,-2,No default
101,-4,100,1430,-2,No default
101,-3,415,100,-2,No default
101,-2,850,415,-2,No default
101,-1,10212,850,-2,No default
101,0,672,10212,-2,No default
102,-5,34056,5000,0,No default
102,-4,33564,1250,0,No default
102,-3,32891,1197,0,No default
102,-2,32475,1171,-1,No default
102,-1,-303,33178,-2,No default
102,0,-81,223,-2,No default
103,-5,469961,24200,0,No default
103,-4,471145,18000,2,No default
103,-3,487066,0,2,No default
103,-2,479432,17000,0,No default
103,-1,431342,55693,0,No default
103,0,422069,16078,0,No default
104,-5,24094,904,0,Default
104,-4,23477,995,0,Default
104,-3,32496,840,0,Default
104,-2,38347,1002,0,Default
104,-1,42254,1362,0,Default
104,0,44698,1767,0,Default
105,-5,55305,3000,0,No default
105,-4,55447,3000,2,No default
105,-3,60218,6,2,No default
105,-2,59175,2511,2,No default
105,-1,55208,5000,2,No default
105,0,56685,0,2,No default
106,-5,26529,2000,-1,No default
106,-4,0,26529,-2,No default
106,-3,0,0,-2,No default
106,-2,0,0,-2,No default
106,-1,0,0,-1,No default
106,0,5580,0,-1,No default
107,-5,1150,1035,-1,No default
107,-4,1150,1150,-1,No default
107,-3,3319,1150,-1,No default
107,-2,3277,3319,-1,No default
107,-1,2861,3279,-1,No default
107,0,6108,2861,-1,No default
108,-5,5263,5011,-1,No default
108,-4,1150,5263,-1,No default
108,-3,867,1150,-1,No default
108,-2,722,867,-1,No default
108,-1,2272,722,-1,No default
108,0,713,2272,-1,No default
109,-5,126568,4796,-1,No default
109,-4,44127,133841,-1,No default
109,-3,120483,4566,-1,No default
109,-2,39940,133657,0,No default
109,-1,178382,0,0,No default
109,0,171438,10908,0,No default
110,-5,-103,0,-2,No default
110,-4,-103,0,-2,No default
110,-3,-103,0,-2,No default
110,-2,-103,0,-2,No default
110,-1,-103,0,-2,No default
110,0,-103,0,1,No default
111,-5,107289,0,0,No default
111,-4,106491,15794,0,No default
111,-3,105896,4100,0,No default
111,-2,105594,3593,2,No default
111,-1,108431,0,0,No default
111,0,105879,9260,0,No default
112,-5,17393,1000,0,No default
112,-4,16671,1000,0,No default
112,-3,15928,1000,0,No default
112,-2,15181,1000,2,No default
112,-1,14722,1000,0,No default
112,0,13244,2000,0,No default
113,-5,149415,5000,3,No default
113,-4,152174,0,2,No default
113,-3,144401,14850,2,No default
113,-2,134813,14254,2,No default
113,-1,138532,0,2,No default
113,0,135673,6500,2,No default
114,-5,59713,2033,0,No default
114,-4,60100,3000,0,No default
114,-3,56076,5080,0,No default
114,-2,54477,3076,0,No default
114,-1,52692,2677,0,No default
114,0,52128,2000,0,No default
115,-5,19957,684,0,No default
115,-4,20311,724,0,No default
115,-3,20274,718,0,No default
115,-2,20259,700,0,No default
115,-1,19294,1305,0,No default
115,0,19015,1340,0,No default
116,-5,21201,1000,2,Default
116,-4,20692,1000,3,Default
116,-3,21319,0,0,Default
116,-2,18631,3000,0,Default
116,-1,17618,1312,2,Default
116,0,18199,0,-1,Default
117,-5,326,526,-1,No default
117,-4,476,326,-1,No default
117,-3,5676,476,-1,No default
117,-2,326,5676,-1,No default
117,-1,326,326,-1,No default
117,0,326,326,-1,No default
118,-5,18186,1000,0,Default
118,-4,17629,1000,0,Default
118,-3,17055,1000,0,Default
118,-2,16630,1000,0,Default
118,-1,15493,1700,0,Default
118,0,14029,2000,2,Default
119,-5,7959,5712,-1,No default
119,-4,14837,7959,-1,No default
119,-3,7839,14837,-1,No default
119,-2,11867,7839,-1,No default
119,-1,9666,11867,-1,No default
119,0,19660,9677,-1,No default
120,-5,1203,563,-1,No default
120,-4,1307,1203,-1,No default
120,-3,52479,1307,0,No default
120,-2,53015,3000,0,No default
120,-1,51445,3000,0,No default
120,0,50254,2000,0,No default
121,-5,51143,0,2,Default
121,-4,49318,2800,2,Default
121,-3,48851,1400,3,Default
121,-2,48953,1000,2,Default
121,-1,45976,4035,2,Default
121,0,46004,1000,2,Default
122,-5,0,0,-2,Default
122,-4,0,0,-2,Default
122,-3,0,0,-2,Default
122,-2,0,0,-2,Default
122,-1,0,0,-2,Default
122,0,0,0,1,Default
123,-5,0,0,-2,No default
123,-4,0,0,-2,No default
123,-3,0,0,-2,No default
123,-2,0,0,-2,No default
123,-1,0,0,-2,No default
123,0,0,0,1,No default
124,-5,198889,5987,0,Default
124,-4,246491,6833,0,Default
124,-3,258610,8599,0,Default
124,-2,306314,8407,0,Default
124,-1,311243,11128,0,Default
124,0,304991,13019,2,Default
125,-5,15630,0,0,No default
125,-4,19717,313,0,No default
125,-3,19378,861,0,No default
125,-2,19298,600,0,No default
125,-1,18962,1130,0,No default
125,0,19115,1404,0,No default
126,-5,0,0,-2,No default
126,-4,0,0,-2,No default
126,-3,0,0,-2,No default
126,-2,0,0,-2,No default
126,-1,0,0,-2,No default
126,0,0,0,1,No default
127,-5,104993,3784,0,No default
127,-4,103146,3669,0,No default
127,-3,100914,3848,0,No default
127,-2,98951,3602,0,No default
127,-1,99530,3585,0,No default
127,0,110151,3568,0,No default
128,-5,95927,1000,0,Default
128,-4,97753,2217,0,Default
128,-3,95766,2142,0,Default
128,-2,99278,2067,0,Default
128,-1,116422,2690,0,Default
128,0,163736,4655,0,Default
129,-5,7077,134,0,Default
129,-4,6375,1200,0,Default
129,-3,5347,1500,0,Default
129,-2,4503,1300,0,Default
129,-1,3899,1066,0,Default
129,0,3347,1000,0,Default
130,-5,26547,1500,0,No default
130,-4,29510,1100,0,No default
130,-3,28853,1200,0,No default
130,-2,57244,1200,2,No default
130,-1,61450,7,2,No default
130,0,60521,2504,3,No default
131,-5,5906,3024,-1,No default
131,-4,13744,5911,-1,No default
131,-3,-27,13771,-2,No default
131,-2,3508,27,-2,No default
131,-1,5645,3508,-2,No default
131,0,4000,5645,1,No default
132,-5,1737,924,-1,No default
132,-4,360,1737,0,No default
132,-3,3164,360,0,No default
132,-2,3301,0,-1,No default
132,-1,2622,3301,-1,No default
132,0,95,2622,1,No default
133,-5,188108,11326,0,No default
133,-4,210606,7253,0,No default
133,-3,220951,7830,0,No default
133,-2,229049,7603,0,No default
133,-1,247743,9553,0,No default
133,0,253454,9744,0,No default
134,-5,228203,8200,0,No default
134,-4,227775,8391,0,No default
134,-3,227587,8175,0,No default
134,-2,229644,8025,0,No default
134,-1,228719,8095,0,No default
134,0,227389,8210,0,No default
135,-5,-780,1560,0,No default
135,-4,17603,0,0,No default
135,-3,25350,500,0,No default
135,-2,26712,0,0,No default
135,-1,26145,1400,0,No default
135,0,28452,2000,0,No default
136,-5,13891,327,2,No default
136,-4,14158,0,2,No default
136,-3,13269,1000,2,No default
136,-2,13681,0,0,No default
136,-1,12035,1800,0,No default
136,0,10674,1500,0,No default
137,-5,30229,5000,0,No default
137,-4,27200,3500,0,No default
137,-3,24614,3000,0,No default
137,-2,22000,3000,0,No default
137,-1,19342,3000,0,No default
137,0,17444,2500,0,No default
138,-5,5708,546,0,No default
138,-4,4404,2000,0,No default
138,-3,9189,500,0,No default
138,-2,8792,1000,0,No default
138,-1,7997,1500,0,No default
138,0,7166,1500,0,No default
139,-5,0,0,-2,Default
139,-4,0,0,-2,Default
139,-3,0,0,-1,Default
139,-2,5880,0,-1,Default
139,-1,300,5880,-1,Default
139,0,752,300,-1,Default
140,-5,18995,2130,0,No default
140,-4,19375,870,0,No default
140,-3,19430,900,0,No default
140,-2,49586,1000,0,No default
140,-1,50143,1700,0,No default
140,0,50801,2360,0,No default
141,-5,0,0,-2,Default
141,-4,0,0,-2,Default
141,-3,0,0,-2,Default
141,-2,0,0,-2,Default
141,-1,0,0,-2,Default
141,0,0,0,1,Default
142,-5,416,832,-1,No default
142,-4,416,3500,-1,No default
142,-3,332,500,-1,No default
142,-2,832,332,-1,No default
142,-1,0,416,-1,No default
142,0,1832,0,-1,No default
143,-5,18065,600,0,No default
143,-4,19879,800,0,No default
143,-3,19996,700,2,No default
143,-2,20583,400,2,No default
143,-1,10833,10000,2,No default
143,0,10131,1000,1,No default
144,-5,15846,10000,-2,No default
144,-4,9983,15863,-2,No default
144,-3,10000,9983,-2,No default
144,-2,10000,10000,-2,No default
144,-1,10000,10000,-2,No default
144,0,12159,10000,-2,No default
145,-5,339,330,-1,No default
145,-4,6702,339,0,No default
145,-3,2340,4702,-1,No default
145,-2,344,2340,-1,No default
145,-1,15586,344,-1,No default
145,0,1199,15586,-1,No default
146,-5,10138,0,3,No default
146,-4,10624,1100,0,No default
146,-3,9195,1583,0,No default
146,-2,7315,2000,0,No default
146,-1,5913,1500,0,No default
146,0,4999,1000,0,No default
147,-5,9100,0,0,Default
147,-4,17918,182,0,Default
147,-3,17560,358,0,Default
147,-2,20852,351,0,Default
147,-1,20313,1200,0,Default
147,0,19269,1661,0,Default
148,-5,59875,8500,0,No default
148,-4,132233,5000,0,No default
148,-3,135668,5000,0,No default
148,-2,93069,55500,0,No default
148,-1,176192,5000,2,No default
148,0,197236,8000,1,No default
149,-5,12034,1,0,No default
149,-4,10123,2091,0,No default
149,-3,9898,379,2,No default
